word,N,freq,sentiment
study,457,0.004122131,positive
time,348,0.003138953,anticipation
found,287,0.002588734,joy
found,287,0.002588734,positive
found,287,0.002588734,trust
president,182,0.001641636,positive
president,182,0.001641636,trust
white,148,0.001334957,anticipation
white,148,0.001334957,joy
white,148,0.001334957,positive
white,148,0.001334957,trust
school,138,0.001244757,trust
police,133,0.001199657,fear
police,133,0.001199657,positive
police,133,0.001199657,trust
show,110,0.000992198,trust
change,109,0.000983178,fear
long,108,0.000974158,anticipation
food,107,0.000965138,joy
food,107,0.000965138,positive
food,107,0.000965138,trust
good,105,0.000947098,anticipation
good,105,0.000947098,joy
good,105,0.000947098,positive
good,105,0.000947098,surprise
good,105,0.000947098,trust
money,102,0.000920038,anger
money,102,0.000920038,anticipation
money,102,0.000920038,joy
money,102,0.000920038,positive
money,102,0.000920038,surprise
money,102,0.000920038,trust
cancer,97,0.000874938,anger
cancer,97,0.000874938,disgust
cancer,97,0.000874938,fear
cancer,97,0.000874938,negative
cancer,97,0.000874938,sadness
death,97,0.000874938,anger
death,97,0.000874938,anticipation
death,97,0.000874938,disgust
death,97,0.000874938,fear
death,97,0.000874938,negative
death,97,0.000874938,sadness
death,97,0.000874938,surprise
child,96,0.000865918,anticipation
child,96,0.000865918,joy
child,96,0.000865918,positive
sex,96,0.000865918,anticipation
sex,96,0.000865918,joy
sex,96,0.000865918,positive
sex,96,0.000865918,trust
government,91,0.000820818,fear
government,91,0.000820818,negative
pay,89,0.000802778,anticipation
pay,89,0.000802778,joy
pay,89,0.000802778,positive
pay,89,0.000802778,trust
black,86,0.000775718,negative
black,86,0.000775718,sadness
law,78,0.000703558,trust
public,77,0.000694538,anticipation
public,77,0.000694538,positive
tax,77,0.000694538,negative
tax,77,0.000694538,sadness
real,74,0.000667478,positive
real,74,0.000667478,trust
bad,73,0.000658458,anger
bad,73,0.000658458,disgust
bad,73,0.000658458,fear
bad,73,0.000658458,negative
bad,73,0.000658458,sadness
court,72,0.000649439,anger
court,72,0.000649439,anticipation
court,72,0.000649439,fear
thought,67,0.000604339,anticipation
job,66,0.000595319,positive
war,66,0.000595319,fear
war,66,0.000595319,negative
ban,65,0.000586299,negative
united,65,0.000586299,positive
united,65,0.000586299,trust
fake,60,0.000541199,negative
system,58,0.000523159,trust
calls,57,0.000514139,anticipation
calls,57,0.000514139,negative
calls,57,0.000514139,trust
information,57,0.000514139,positive
young,57,0.000514139,anticipation
young,57,0.000514139,joy
young,57,0.000514139,positive
young,57,0.000514139,surprise
medical,55,0.000496099,anticipation
medical,55,0.000496099,fear
medical,55,0.000496099,positive
medical,55,0.000496099,trust
shot,55,0.000496099,anger
shot,55,0.000496099,fear
shot,55,0.000496099,negative
shot,55,0.000496099,sadness
shot,55,0.000496099,surprise
die,54,0.000487079,fear
die,54,0.000487079,negative
die,54,0.000487079,sadness
fact,53,0.000478059,trust
full,52,0.000469039,positive
increase,52,0.000469039,positive
risk,52,0.000469039,anticipation
risk,52,0.000469039,fear
risk,52,0.000469039,negative
eat,51,0.000460019,positive
music,51,0.000460019,joy
music,51,0.000460019,positive
music,51,0.000460019,sadness
senate,51,0.000460019,trust
including,50,0.000450999,positive
killing,50,0.000450999,anger
killing,50,0.000450999,fear
killing,50,0.000450999,negative
killing,50,0.000450999,sadness
prison,50,0.000450999,anger
prison,50,0.000450999,fear
prison,50,0.000450999,negative
prison,50,0.000450999,sadness
top,50,0.000450999,anticipation
top,50,0.000450999,positive
top,50,0.000450999,trust
father,49,0.000441979,trust
impeachment,49,0.000441979,negative
legal,49,0.000441979,positive
legal,49,0.000441979,trust
congress,48,0.000432959,disgust
congress,48,0.000432959,trust
depression,48,0.000432959,negative
depression,48,0.000432959,sadness
disease,48,0.000432959,anger
disease,48,0.000432959,disgust
disease,48,0.000432959,fear
disease,48,0.000432959,negative
disease,48,0.000432959,sadness
investigation,48,0.000432959,anticipation
small,48,0.000432959,negative
star,47,0.000423939,anticipation
star,47,0.000423939,joy
star,47,0.000423939,positive
star,47,0.000423939,trust
fire,46,0.000414919,fear
illegal,46,0.000414919,anger
illegal,46,0.000414919,disgust
